Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.
#41197|closed|bug, Service Attention, customer-reported, issue-addressed, |Hub-Based AI Foundry Projects in azure-ai-agents v1.0.0b11|- **Package Name**: azure-ai-agents - **Package Version**: 1.0.0b11 - **Operatin
#41141|open|bug, Service Attention, customer-reported, needs-team-attent|AI foundry - New built-in role to peform "human-in-the-loop" review of evals out|**Is your feature request related to a problem? Please describe.** Currently any
#40992|closed|bug, Service Attention, Client, customer-reported, issue-add|azure-ai-evaluation failed with module not found|- **Package Name**:  - azure-ai-evaluation - **Package Version**:  - 1.6.0 - **O
#40981|open|bug, Advisor, Service Attention, Mgmt, customer-reported|azure-mgmt-advisor source distribution does not contain license|- **Package Name**: azure-mgmt-advisor - **Package Version**: 9.0.0 - **Operatin
#40953|closed|bug, Machine Learning, Service Attention, Client, customer-r|Failures when calling `latest_versions` on MLFlow client|- **Package Name**: `azure-ai-ml` - **Package Version**: `1.21.0` - **Operating 
#40948|closed|bug, Machine Learning, Service Attention, Client, customer-r|KeyError: 'mlflow.source.git.branch' when running ml_client.jobs.create_or_updat|- **Package Name**:  azure-ai-ml - **Package Version**: 1.27.0 - **Operating Sys
#40873|closed|bug, Storage, Service Attention, customer-reported, needs-te|walk_blobs returns BlobPrefix object?|### Type of issue  Missing information  ### Description  https://learn.microsoft
#40810|closed|bug, Service Attention, customer-reported, needs-team-attent|requesturl coming empty in run step details for Bing Search Tool Call|- **Package Name**:  Azure AI Projects (azure-ai-projects==1.0.0b9 ) - **Package
#40806|open|bug, Docs, Network, Service Attention, customer-reported|Network Samples 404 Error|### Type of issue  Other (describe below)  ### Description    [Sample links retu
#40631|open|bug, Machine Learning, Service Attention, Client, customer-r|Issue with local endpoints when invoke|I have an azure machine learning managed online deployment. I'm working fully lo
#40617|open|bug, Docs, Service Attention, customer-reported, needs-team-|Typo in docs related with opentelemetry-sdk installation|### Type of issue  Typo  ### Description  In the [Trace an agent](https://learn.
#40604|closed|bug, Search, Client, customer-reported, no-recent-activity|vector field not setting to retrievable.|- **Package Name**: azure.search.documents - **Package Version**: 11.5.2 - **Ope
#40575|closed|bug, Machine Learning, issue-addressed|azure-ai-ml SDK and CLI installation broken|- **Package Name**: azure-ai-ml  **Describe the bug** All fresh installs and upd
#40573|closed|bug, Monitor, Service Attention, Client, customer-reported|With azure-monitor-opentelemetry 1.6.7 ,we see Import error as No modules found |We have installed below libraires after cluster restart in our data bricks works
#40473|closed|bug, Service Attention, Client, customer-reported, needs-tea|Unexpected Bing Grounding Query Format: Malformed Parameters and Unrecognized re|While inspecting the search queries used by Grounding with Bing, I encountered a
#40403|closed|bug, Mgmt, customer-reported, needs-team-attention, Resource|Subscription Client is not throwing error in case of missing permissions to list|- **Package Name**:  azure.mgmt.resource  (SubscriptionClient) - **Package Versi
#40390|open|bug, Machine Learning, Service Attention, Client, customer-r|Mount on azure ml sdk v2 throw no attribute _identity_config error|- **Package Name**:  azure-ai-ml[mount]==1.25.0 azure-identity==1.20.0 - **Opera
#40290|closed|bug, Machine Learning, Service Attention, Client, customer-r|mlflow_client.create_model_version does not work|- **Package Name**: azure-ai-ml - **Package Version**: 1.20.0 - **Python Version
#40138|closed|bug, Search, Client, customer-reported, issue-addressed|azure-search-documents|- **azure-search-documents** - **11.6.0b10** - **Ubuntu 24.04** - **Python 3.12.
#40122|closed|bug, Docs, Machine Learning, Service Attention, customer-rep|No way documented on how to use custom docker registries|### Type of issue  Missing information  ### Description  In the v1 api it was de
#40094|closed|bug, Mgmt, customer-reported, Monitor - ApplicationInsights,|ApplicationInsightsManagementClient.web_test.create_or_update: "System.NullRefer|- **Package Name**:  azure-mgmt-applicationinsights - **Package Version**:  4.1.
#40070|open|bug, Cosmos, Service Attention, Client, customer-reported|[Bug] replace_container fails on containers with uniqueKeyPolicy|- **Package Name**: azure-cosmos - **Package Version**: 4.9.0 - **Operating Syst
#40038|closed|bug, Service Attention, Client, customer-reported, Cognitive|azure-cognitiveservices-speech SDK Vulnerability Issue Due to License Type|- **azure-cognitiveservices-speech**:  - **1.42.0** - **Windows** - **3.11**:   
#39981|closed|bug, Service Attention, Client, needs-team-attention, Evalua|azure.ai.evaluation.evaluate Deserialization errors with azure_ai_project provid|- **Package Name**: azure-ai-evaluation - **Package Version**: 1.3.0 - **Operati
